Postcode,District,Area
110 00,Prague 01,Old Town
110 00,Prague 01, Josefov
110 00,Prague 01, Hradcany
110 00,Prague 01, Lesser Town
110 00,Prague 01, New Town
120 00,Prague 02,Vinohrady
120 00,Prague 02, Vysehrad
120 00,Prague 02, New Town
130 00,Prague 03,Zizkov
130 00,Prague 03, Vinohrady
140 00,Prague 04,Branik
140 00,Prague 04, Hodkovicky
140 00,Prague 04, Krc
140 00,Prague 04, Lhotka
140 00,Prague 04, Podoli
140 00,Prague 04, Michle
140 00,Prague 04, Nusle
140 00,Prague 04, Kunratice
150 00,Prague 05,Smichov
150 00,Prague 05, Hlubocepy
150 00,Prague 05, Radlice
150 00,Prague 05, Kosire
150 00,Prague 05, Motol
150 00,Prague 05, Jinonice
150 00,Prague 05, Slivenec
150 00,Prague 05, Holyne
160 00,Prague 06,Dejvice
160 00,Prague 06, Stresovice
160 00,Prague 06, Veleslavin
160 00,Prague 06, Vokovice
160 00,Prague 06, Ruzyne
160 00,Prague 06, Liboc
160 00,Prague 06, Brevnov
160 00,Prague 06, Bubenec
160 00,Prague 06, Sedlec
160 00,Prague 06, Suchdol
160 00,Prague 06, Lysolaje
160 00,Prague 06, Nebusice
160 00,Prague 06, Predni Kopanina
170 00,Prague 07,Holesovice
170 00,Prague 07, Troja
180 00,Prague 08,Liben
180 00,Prague 08, Karlin
180 00,Prague 08, Kobylisy
180 00,Prague 08, Bohnice
180 00,Prague 08, Cimice
180 00,Prague 08, Troja
180 00,Prague 08, Strizkov
180 00,Prague 08, Dablice
180 00,Prague 08, Brezineves
180 00,Prague 08, Dolni Chabry
190 00,Prague 09,Vysocany
190 00,Prague 09, Prosek
190 00,Prague 09, Strizkov
190 00,Prague 09, Hrdlorezi
100 00,Prague 10,Vrsovice
100 00,Prague 10, Vinohrady
100 00,Prague 10, Strasnice
100 00,Prague 10, Malesice
100 00,Prague 10, Zabehlice
100 00,Prague 10, Bohdalec
148 00,Prague 11,Chodov
148 00,Prague 11, Haje
148 00,Prague 11, Seberov
148 00,Prague 11, Ujezd u Pruhonic
148 00,Prague 11, Kreslice
143 00,Prague 12,Modrany
143 00,Prague 12, Komorany
143 00,Prague 12, Tocna
143 00,Prague 12, Cholupice
143 00,Prague 12, Kamyk
143 00,Prague 12, Libus
143 00,Prague 12, Pisnice
155 00,Prague 13,Stodulky
155 00,Prague 13, Trebonice
155 00,Prague 13, Reporyje
155 00,Prague 13, Zadni Kopanina
198 00,Prague 14,Kyje
198 00,Prague 14, Hostavice
198 00,Prague 14, Cerny Most
198 00,Prague 14, Hloubetin
198 00,Prague 14, Dolni Pocernice
102 00,Prague 15,Horni Mecholupy
102 00,Prague 15, Hostivar
102 00,Prague 15, Dolni Mecholupy
102 00,Prague 15, Sterboholy
102 00,Prague 15, Petrovice
102 00,Prague 15, Dubec
153 00,Prague 16,Radotin
153 00,Prague 16, Velka Chuchle
153 00,Prague 16, Mala Chuchle
153 00,Prague 16, Lochkov
153 00,Prague 16, Zbraslav
153 00,Prague 16, Lahovice
153 00,Prague 16, Lipence
163 00,Prague 17,Repy
163 00,Prague 17, Zlicin
163 00,Prague 17, Sobin
163 00,Prague 17, Trebonice
199 00,Prague 18,Letnany
199 00,Prague 18, Cakovice
199 00,Prague 18, Treboradice
199 00,Prague 18, Miskovice
197 00,Prague 19,Kbely
197 00,Prague 19, Vinor
197 00,Prague 19, Satalice
193 00,Prague 20,Hornice Pocernice
190 16,Prague 21,Ujezd nad Lesy
190 16,Prague 21, Klanovice
190 16,Prague 21, Kolodeje
190 16,Prague 21, Bechovice
104 00,Prague 22,Uhrineves
104 00,Prague 22, Hajek u Uhrinevsi
104 00,Prague 22, Pitkovice
104 00,Prague 22, Kolovraty
104 00,Prague 22, Lipany
104 00,Prague 22, Kralovice
104 00,Prague 22, Nedvezi
104 00,Prague 22, Benice
